algorithm,clusters,silhouette,smallest_cluster_share,inertia
KMeans,2,0.29705119078496395,0.2,768.2665640552606
Jerárquico,2,0.31006594637673207,0.15294117647058825,
GaussianMixture,2,0.30735569732695783,0.17647058823529413,
KMeans,3,0.16496898725794082,0.16470588235294117,657.5900442074814
Jerárquico,3,0.1555105100068572,0.15294117647058825,
GaussianMixture,3,0.18129150852141734,0.1411764705882353,
KMeans,4,0.1747225378384616,0.09411764705882353,586.04654107952
Jerárquico,4,0.15823108969800137,0.12941176470588237,
GaussianMixture,4,0.16273330865861932,0.15294117647058825,
KMeans,5,0.17885400413745495,0.11764705882352941,526.0310345776986
Jerárquico,5,0.16608567216026776,0.07058823529411765,
GaussianMixture,5,0.10996755804129335,0.12941176470588237,
KMeans,6,0.1717686841613038,0.03529411764705882,485.1197280854277
Jerárquico,6,0.16700498195618807,0.03529411764705882,
GaussianMixture,6,0.1317420607000706,0.09411764705882353,
