transformed_feature,importance
numeric__inventory,0.04584559562957044
numeric__catalog_discount_percentage,0.0405768103175041
numeric__discount_percentage,0.039157982073068955
numeric__unit_price,0.03747755955028441
numeric__line_discount_percentage,0.035874401781204365
numeric__catalog_price,0.03557797615955182
numeric__reviews,0.0349860827397385
numeric__age,0.03380799793932509
numeric__month,0.02649374464284461
numeric__rating,0.02569217635732904
numeric__line_number,0.022848061856664163
numeric__reported_total_products,0.021969307843973294
categorical__country_Perú,0.014797599255488963
categorical__country_Colombia,0.011906143918337789
categorical__channel_E-commerce B2B,0.008551875874756225
numeric__delivered_flag,0.00844635086018933
categorical__retailer_type_Sports Chain,0.008421913138681587
categorical__retailer_type_Superstore,0.008075229959179645
categorical__city_Barranquilla,0.007898233376457313
categorical__channel_Direct Sales,0.007592715490559966
categorical__order_status_shipped,0.007570366457538762
categorical__category_Accessories,0.007278608291354935
categorical__quarter_1,0.00726934779246829
categorical__price_segment_Económico,0.0072590324404761845
categorical__country_Chile,0.007250949503648545
categorical__order_status_delivered,0.007201665406410945
categorical__brand_SpeedMax,0.006559802089524355
categorical__user_id_67,0.0064743143320908835
categorical__category_Equipment,0.006423791659307575
categorical__price_segment_Medio,0.006357150603417847
categorical__order_status_confirmed,0.006334085301174736
categorical__retailer_type_Independent,0.006211204655308817
categorical__channel_Distributor,0.006179494705135822
categorical__month_name_Enero,0.006103488458492603
categorical__category_Apparel,0.006102072171473858
categorical__quarter_3,0.00602998625231455
categorical__user_id_23,0.005994317045884367
categorical__category_Footwear,0.005969459532440825
categorical__brand_SportRetail Pro,0.005929871721469587
categorical__city_Ciudad de México,0.005848436752446637
categorical__city_Lima,0.005643663445707469
categorical__country_México,0.005558404605791546
categorical__retailer_type_Online Retailer,0.00535968205633543
categorical__brand_PowerEdge,0.00531232467800151
categorical__quarter_4,0.005287869240539788
categorical__quarter_2,0.004760456004267998
categorical__brand_UrbanSport,0.00475505179193716
categorical__product_id_112,0.004691945375492742
categorical__year_month_2024-10,0.004653387564482927
categorical__city_Temuco,0.004602843318097151
categorical__user_id_14,0.004566517394529649
categorical__country_Argentina,0.004479406344758448
categorical__brand_CoreFit,0.004294555781056802
categorical__year_month_2024-01,0.004175264926081138
categorical__month_name_Octubre,0.004158526322885437
categorical__city_Piura,0.003963897589858349
categorical__user_id_87,0.003934834977400015
numeric__canceled_flag,0.0038764438433909186
categorical__month_name_Diciembre,0.003813062062355556
categorical__year_month_2024-12,0.0037629439756939383
categorical__product_name_PowerEdge Training Gloves v2,0.003729873659635835
categorical__price_segment_Premium,0.003698318899268657
categorical__order_id_120,0.0036824583010414604
categorical__month_name_Noviembre,0.0035849942052857487
categorical__year_month_2024-07,0.003551267545851745
categorical__city_Cusco,0.0035004609862017933
categorical__month_name_Agosto,0.003399345369749682
categorical__city_Tucumán,0.0033234519907664657
categorical__order_id_126,0.0033131621297276927
categorical__sku_SR-EQU-0112,0.0032534645325168637
categorical__brand_AthletX,0.0032458143381265186
categorical__retailer_type_Department Store,0.003230485941778392
categorical__city_Trujillo,0.0031957872321337773
categorical__user_id_93,0.003137028688725391
categorical__order_status_cancelled,0.003113733861765143
categorical__city_Rosario,0.0030576966031618004
categorical__month_name_Julio,0.0029920117825736627
categorical__product_name_CoreFit Basketball Shoes v5,0.0029644033822743567
categorical__month_name_Septiembre,0.002933121959824641
categorical__user_id_55,0.002929210911830744
categorical__city_Santiago,0.0029207196687514596
categorical__year_month_2024-09,0.002894310393754366
categorical__month_name_Junio,0.00276041023796287
categorical__city_Bogotá,0.0027413292550922006
categorical__year_month_2024-02,0.002721449343762271
categorical__year_month_2024-06,0.002696554290606322
categorical__year_month_2024-05,0.002613210006574736
categorical__year_month_2024-11,0.0026092699108419175
categorical__city_Monterrey,0.0025479619225153433
categorical__product_name_UrbanSport Foam Roller v3,0.0025301580086404644
categorical__year_month_2024-03,0.0024643426403834186
categorical__product_id_10,0.0024452662660585174
categorical__year_month_2024-08,0.00242684683824796
categorical__sku_SR-FOO-0010,0.0023689269446974673
categorical__month_name_Mayo,0.00234492893972109
categorical__month_name_Febrero,0.002315580286639873
categorical__user_id_57,0.0023112978685468004
categorical__user_id_98,0.002252084564104242
categorical__product_name_SportRetail Pro Resistance Bands v3,0.0022349965632740263
categorical__product_id_93,0.00221547274941544
categorical__sku_SR-EQU-0108,0.00217511696221062
categorical__city_Córdoba,0.002133854375867841
categorical__user_id_94,0.0020998067945618244
categorical__city_Cali,0.002060129083701268
categorical__user_id_99,0.002050010491636675
categorical__city_Concepción,0.0020252647232577906
categorical__product_name_UrbanSport Headband v4,0.0020085172166453497
categorical__order_id_191,0.0019970181248634973
categorical__sku_SR-ACC-0079,0.001989289809828772
categorical__product_id_108,0.0019185606689753293
categorical__year_month_2024-04,0.0018966447544992904
categorical__sku_SR-EQU-0093,0.0018941043508087251
categorical__month_name_Marzo,0.0018934669879459142
categorical__product_id_79,0.0018342099532665285
categorical__product_name_UrbanSport Agility Ladder v3,0.0018206655862580726
categorical__city_Puebla,0.0017989439027337505
categorical__user_id_34,0.0017961479873277821
categorical__user_id_65,0.0017786182292960607
categorical__product_id_83,0.0017414036960060233
categorical__month_name_Abril,0.001697629191411531
categorical__user_id_74,0.0016607408366891732
categorical__product_id_17,0.001588837288748963
categorical__product_id_109,0.0015665460207573484
categorical__sku_SR-APP-0045,0.0015582456284772605
categorical__product_name_SportRetail Pro Foam Roller v4,0.0015081602421289058
categorical__user_id_2,0.0014818860585601166
categorical__user_id_49,0.0014717519285276758
categorical__city_Tijuana,0.001454209938810348
categorical__order_id_167,0.0013963903767236123
categorical__sku_SR-FOO-0028,0.0013818719797687588
categorical__sku_SR-FOO-0017,0.001371602241234845
categorical__sku_SR-EQU-0109,0.0013592600931121729
categorical__order_id_101,0.0013313867524565872
categorical__product_id_59,0.0013176013769804263
categorical__user_id_28,0.001309052482433673
categorical__sku_SR-EQU-0118,0.0013031256945563174
categorical__product_name_PowerEdge Gym Bag v5,0.0012599936056153882
categorical__product_name_SportRetail Pro Tennis Shoes v3,0.0012489093081029972
categorical__city_Medellín,0.0012431242276197696
categorical__sku_SR-EQU-0104,0.001217326564325056
categorical__product_name_AthletX Slides v2,0.0012024211338203341
categorical__sku_SR-ACC-0085,0.0011993461226003743
categorical__product_id_88,0.001195234308526898
categorical__sku_SR-ACC-0083,0.0011708776158399544
categorical__product_id_85,0.0011594365487350407
categorical__sku_SR-APP-0041,0.001149908328913831
categorical__product_id_35,0.0011246334483853804
categorical__city_Arequipa,0.0011242913109588246
categorical__product_name_SpeedMax Gym Bag v3,0.0011002798648304677
categorical__product_id_58,0.0010967052398050247
categorical__product_id_45,0.00107799626981776
